filename,transcript,duration_seconds,word_count,words_per_minute,pause_count,silence_ratio,filler_word_count,sentence_count,unique_word_count,vocabulary_richness,average_sentence_length,noun_count,verb_count,adjective_count,adverb_count,fluency_score,vocabulary_score,grammar_score,overall_score
sample_0000.wav,Archaeological research continues in the city.,3.82,6,94.34,1,0.396,0,1,6,1.0,6.0,2,1,1,0,92.08,80.0,100.0,91.436
sample_0001.wav,"However, the key is proceeded.",2.99,5,100.4,2,0.475,0,1,5,1.0,5.0,1,1,0,1,90.5,80.0,100.0,90.725
sample_0002.wav,The council meets on the 2nd and 4th Tuesday of each month.,3.84,12,187.5,2,0.272,0,1,9,0.9,10.0,3,1,2,0,92.685,90.0,100.0,94.20824999999999
sample_0003.wav,"Formerly, it is the Morgan Stanley American Finance Association Award for Excellence in Finance.",7.55,14,111.27,8,0.239,0,1,13,0.929,14.0,8,0,0,1,92.10476821192053,92.9,85.0,90.17214569536424
sample_0004.wav,The Union as a whole is increasingly representing its members in international organizations.,7.49,13,104.17,3,0.171,0,1,13,1.0,13.0,4,1,1,1,96.58,100.0,100.0,98.461
sample_0005.wav,It was the only ship of the Navy to have borne this name.,4.79,13,162.91,2,0.322,0,1,12,0.923,13.0,3,1,1,0,93.56,92.30000000000001,100.0,95.177
sample_0006.wav,"Any electrical student can apply for the minimum learn, regardless of their income.",6.38,13,122.18,10,0.409,0,1,13,1.0,13.0,3,1,2,1,82.6112225705329,100.0,100.0,92.17505015673981
sample_0007.wav,Identification relies on an examination of the spiders anatomy.,5.18,9,104.17,4,0.329,0,1,9,1.0,9.0,4,1,0,0,93.42,80.0,100.0,92.039
sample_0008.wav,He played college football at Washington State Cougars.,4.07,8,117.99,5,0.331,0,1,8,1.0,8.0,5,1,0,0,88.23798525798526,80.0,100.0,89.70709336609337
sample_0009.wav,Ogden was an original member of the Pennsylvania Society of Cincinnati.,7.39,11,89.29,2,0.241,0,1,10,0.909,11.0,5,0,1,0,95.0025,90.9,85.0,90.976125
sample_0010.wav,"Then with his brothers, he led troops as part of the siege of Brescia.",4.58,14,183.25,5,0.332,0,1,13,0.929,14.0,5,1,0,1,89.04706331877729,92.9,100.0,93.29617849344979
sample_0011.wav,Can one day it was counted out?,3.86,7,108.7,2,0.558,0,1,7,1.0,7.0,1,1,0,0,88.84,80.0,100.0,89.97800000000001
sample_0012.wav,The film does portray Malaysians contributing to the battle from their vehicles.,5.83,12,123.46,4,0.314,0,1,11,0.917,12.0,4,2,0,0,93.72,91.7,100.0,95.099
sample_0013.wav,The design beam of the groning-in class was limited.,4.14,10,144.93,0,0.316,0,1,9,0.9,10.0,4,0,1,0,93.68,90.0,85.0,90.156
sample_0014.wav,in the series Hogan source out problems for the locals.,6.86,10,87.41,4,0.456,0,1,9,0.9,10.0,4,1,0,0,90.23249999999999,90.0,100.0,93.104625
sample_0015.wav,During the time it was commanded by Major General Jacob D.Coups.,6.0,12,120.0,7,0.292,0,1,10,1.0,10.0,5,1,0,0,89.75999999999999,100.0,100.0,95.392
sample_0016.wav,We see a most wonderful completeness in symmetry in this art.,3.7,11,178.57,2,0.284,0,1,10,0.909,11.0,3,1,1,1,94.32,90.9,100.0,95.169
sample_0017.wav,It has rotating indoor exhibitions and numerous large sculptures in the park grounds.,5.83,13,133.74,3,0.265,0,1,13,1.0,13.0,4,1,3,0,94.7,100.0,100.0,97.61500000000001
sample_0018.wav,"In the same time period, Kerr also contributed to Yahoo!",4.86,10,123.46,5,0.276,0,1,10,1.0,10.0,4,1,1,1,91.73432098765433,100.0,100.0,96.28044444444444
sample_0019.wav,"CETRA recordings are often now reissued by the company, Warner, Fonit, etc.",9.48,12,75.95,13,0.413,0,1,12,1.0,12.0,5,1,0,2,81.37180379746835,100.0,100.0,91.61731170886075
sample_0020.wav,"Many shops, hotels and restaurants have settled there.",4.54,8,105.82,6,0.4,0,1,8,1.0,8.0,3,1,1,1,85.7409691629956,80.0,100.0,88.58343612334802
sample_0021.wav,The range takes its name from the nearby village of Dungeonin.,4.82,11,136.82,2,0.323,0,1,10,0.909,11.0,4,1,1,0,93.54,90.9,100.0,94.81800000000001
sample_0022.wav,They made camp at Hans and then destroyed the castle.,5.33,10,112.61,3,0.397,0,1,10,1.0,10.0,3,2,0,1,92.06,100.0,100.0,96.42699999999999
sample_0023.wav,This did not work as well for characters with high health.,3.6,11,183.33,2,0.298,0,1,11,1.0,11.0,2,1,1,2,93.2075,100.0,100.0,96.943375
sample_0024.wav,Each telephone was wired to a telephone exchange established for a toner area.,6.22,13,125.48,13,0.461,0,1,11,0.846,13.0,5,2,0,0,75.29961414790998,84.6,100.0,85.03482636655949
sample_0025.wav,They might have spoken English.,4.1,5,73.1,3,0.368,0,1,5,1.0,5.0,1,1,0,0,88.415,80.0,100.0,89.78675000000001
sample_0026.wav,A stachial form is that of a dragon or bellaar.,3.7,10,162.34,0,0.307,0,1,9,0.9,10.0,3,0,1,0,93.86,90.0,85.0,90.237
sample_0027.wav,"Neil Woodbridge was born in Shawnee, Oklahoma and grew up in Texas.",7.09,12,101.52,7,0.242,0,1,11,0.917,12.0,5,2,0,0,92.91232722143864,91.7,100.0,94.7355472496474
sample_0028.wav,"Four days later, all of the former town sites were fully underwater.",6.84,12,105.26,1,0.181,0,1,12,1.0,12.0,3,0,2,2,96.38,100.0,85.0,93.87100000000001
sample_0029.wav,In the show it made them close friends,2.74,8,175.44,2,0.439,0,1,8,1.0,8.0,2,1,1,0,91.22,80.0,100.0,91.049
sample_0030.wav,The intro is only seen in a tracked mode as an intro loop.,5.18,13,150.46,5,0.381,0,1,12,0.923,13.0,4,2,0,1,90.3969884169884,92.30000000000001,100.0,93.75364478764479
sample_0031.wav,while working at the voice he began drafting his first novels.,5.64,11,117.02,7,0.361,0,1,11,1.0,11.0,2,3,1,0,87.4863829787234,100.0,100.0,94.36887234042553
sample_0032.wav,A check allows for the access to the website to the west,6.26,12,114.94,5,0.447,0,1,9,0.75,12.0,4,1,0,0,91.06,75.0,100.0,89.727
sample_0033.wav,He was shot dead by a stick for that day.,3.6,10,166.67,1,0.009,0,1,10,1.0,10.0,2,1,1,0,99.82,100.0,100.0,99.919
sample_0034.wav,The river also provides an stretch of salmon fishing.,5.72,9,94.34,7,0.245,0,1,9,1.0,9.0,4,1,0,1,90.01468531468531,80.0,100.0,90.50660839160838
sample_0035.wav,It is not effective to humans.,3.96,6,90.91,5,0.374,0,1,6,1.0,6.0,1,0,1,0,86.96848484848485,80.0,85.0,84.63581818181818
sample_0036.wav,I join him.,2.54,3,70.75,2,0.551,0,1,3,1.0,3.0,0,1,0,0,84.1675,80.0,90.0,84.875375
sample_0037.wav,will make a Christopher Nolan stepped in and convinced new market to put it in theaters.,7.58,16,126.58,15,0.242,0,1,15,0.938,16.0,4,4,1,1,81.0132981530343,93.8,100.0,89.90598416886543
sample_0038.wav,"As a young man, Millard Simpson played professional baseball in Cody.",5.04,11,130.95,5,0.259,0,1,11,1.0,11.0,5,1,2,0,92.51523809523809,100.0,100.0,96.63185714285714
sample_0039.wav,It is also referred to as a spatial white modulator.,6.41,10,93.63,7,0.301,0,1,10,1.0,10.0,1,1,2,1,90.47547581903277,100.0,100.0,95.71396411856475
sample_0040.wav,This film is no longer accepted by historians.,6.66,8,72.07,10,0.411,0,1,8,1.0,8.0,2,1,0,2,78.87948198198198,80.0,100.0,85.49576689189189
sample_0041.wav,He has received many honors and awards for his scientific research.,6.24,11,105.77,11,0.291,0,1,11,1.0,11.0,3,1,2,0,82.62615384615385,100.0,100.0,92.18176923076923
sample_0042.wav,Various methods of combating this phenomenon were discussed.,5.26,8,91.32,6,0.349,0,1,8,1.0,8.0,2,2,1,0,88.93178707224334,80.0,100.0,90.0193041825095
sample_0043.wav,Google has since updated its data which it found to be incorrect.,5.69,12,126.58,6,0.311,0,1,12,1.0,12.0,2,2,1,0,90.72622144112478,100.0,100.0,95.82679964850615
sample_0044.wav,He said he would be alive if he had not done so.,4.82,12,149.25,5,0.25,0,1,10,0.833,12.0,0,2,1,1,92.15186721991701,83.3,90.0,89.29334024896265
sample_0045.wav,The monarch received thereby a fresh assession of vital energy.,5.04,10,119.05,3,0.298,0,1,10,1.0,10.0,3,1,2,1,94.04,100.0,100.0,97.31800000000001
